Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;3;0.8;ASPERSION;1;3642
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;3;1;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.7;1;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;2.3;0.4;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;2.4;0.7;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;3;1;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;3;1;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;4;3;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.04;4;1.5;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.03;2;0.4;ASPERSION;1;3641
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.05;3.5;2;ASPERSION;1;3641
Ailanthus_altissima;Simarubaceae;AILANTO;AILANTHUS;0.02;1.5;0.5;GOTEO;1;3809
Ailanthus_altissima;Simarubaceae;AILANTO;AILANTHUS;0.02;1;0.5;GOTEO;1;3809
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.08;4;2.5;MANUAL;1;3430
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.15;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.21;5;1;NO RIEGO;1;3961
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.22;5;1;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1.5;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1.5;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;0;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;1.5;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.21;5;1;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;1.5;NO RIEGO;1;3964
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3962
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.28;5;2.5;NO RIEGO;1;3962
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.27;5;2;NO RIEGO;1;3761
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.28;5;2;NO RIEGO;1;3761
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;2;NO RIEGO;1;3761
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.22;5;1;NO RIEGO;1;3761
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;2;NO RIEGO;1;3761
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3959
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.21;5;1.5;NO RIEGO;1;3959
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.26;5;2.5;NO RIEGO;1;3959
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;5;1;NO RIEGO;1;3959
